Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
9.75,9.7525146893657322,28.482467856749231,54033.0020566973,50514.686608537457,33.123927986461382,1540.577782669262,1020.871150797896
10.049999999999999,10.052514376867785,28.469997411637845,54009.225650329223,50504.234397600711,33.116159867551687,1540.5473959649141,1020.8706993465665
10.35,10.352515392739658,28.456594405500088,53968.944686125673,50479.220839190668,33.097662518072362,1540.5036836799416,1020.8624989345493
10.649999999999999,10.652518367768819,28.445626428034803,53939.362844591975,50461.905350872818,33.084835209609174,1540.4712477112105,1020.8577545647077
10.95,10.952522305729072,28.438060300551403,53921.807237627414,50452.623967220439,33.0779232770794,1540.4524714410811,1020.8563342521072
11.25,11.25252439107005,28.430780772020555,53935.326456882161,50472.148897668565,33.092236284813453,1540.4566204149039,1020.8707516763377
11.549999999999999,11.55252112916221,28.429734565934567,53974.443136597751,50509.742912900867,33.119857307276796,1540.4884126000179,1020.8931155869009
11.85,11.852514127875065,28.432736154214233,53983.729403747944,50515.595203606521,33.124082327575493,1540.5044915365004,1020.8965905185016
12.149999999999999,12.152505114953351,28.425384050101052,53989.750932935756,50528.182335858786,33.133284843175133,1540.5031118086968,1020.9071958824229
12.45,12.452497498155287,28.417221267998489,53935.873194524,50485.472581888331,33.101737030774068,1540.4571297988118,1020.8874770788573
12.75,12.752491751599388,28.398902393028671,53917.635893630082,50485.715508516834,33.101855639074522,1540.4221428481696,1020.8948553347061
13.049999999999999,13.052484725983216,28.388928933206344,53902.190566363221,50480.681710059216,33.098074817198537,1540.4013495638239,1020.8965711806108
13.35,13.352476145116359,28.379933121393037,53902.912337645517,50489.864997641671,33.1047686598183,1540.3937047635413,1020.9058293881161
13.649999999999999,13.652466059385265,28.369669441368274,53886.33322452924,50484.042517565686,33.100406333789493,1540.3716498885528,1020.907202322329
13.95,13.952455569140211,28.35432997546561,53862.185666845973,50475.927344241689,33.0943600937787,1540.3366681743992,1020.908971336852
14.249999999999998,14.252444988120594,28.347984225431759,53847.931600166652,50468.571945120064,33.088863487442119,1540.3220102533824,1020.9082088687942
14.549999999999999,14.552434773080446,28.344063837180236,53836.548288056438,50461.611297912539,33.083655175757663,1540.3129819713661,1020.9068690794061
14.85,14.852424187010852,28.338470086305854,53833.207433617892,50463.771595352766,33.085168899187323,1540.307341937895,1020.9111229220664
15.149999999999999,15.152411620573483,28.3330859886925,53840.547055088689,50475.7469561238,33.093914120138237,1540.3097639284924,1020.9207369129077
15.45,15.452396819046664,28.329667728399844,53844.119681391821,50482.331856643104,33.098685604027537,1540.3123280639506,1020.9267246383032
15.892294630219665,15.894669189084297,28.329767143654703,53834.083175220469,50472.827895729679,33.091558966562289,1540.3125154397192,1020.923240211678
