"プロット タイトル: 11000848"
"#","日付 時間, GMT+09:00","温度, °C"
210,06/01/2017 05:00:00 午後,24.002
211,06/01/2017 06:00:00 午後,23.881
212,06/01/2017 07:00:00 午後,23.978
213,06/01/2017 08:00:00 午後,23.978
214,06/01/2017 09:00:00 午後,23.954
215,06/01/2017 10:00:00 午後,23.930
216,06/01/2017 11:00:00 午後,23.930
217,06/02/2017 12:00:00 午前,23.881
218,06/02/2017 01:00:00 午前,23.809
219,06/02/2017 02:00:00 午前,23.761
220,06/02/2017 03:00:00 午前,23.641
221,06/02/2017 04:00:00 午前,23.593
222,06/02/2017 05:00:00 午前,23.400
223,06/02/2017 06:00:00 午前,23.136
224,06/02/2017 07:00:00 午前,22.776
225,06/02/2017 08:00:00 午前,23.088
226,06/02/2017 09:00:00 午前,23.737
227,06/02/2017 10:00:00 午前,23.978
228,06/02/2017 11:00:00 午前,23.881
229,06/02/2017 12:00:00 午後,24.098
230,06/02/2017 01:00:00 午後,24.412
231,06/02/2017 02:00:00 午後,24.798
232,06/02/2017 03:00:00 午後,25.331
233,06/02/2017 04:00:00 午後,25.307
234,06/02/2017 05:00:00 午後,25.380
235,06/02/2017 06:00:00 午後,25.283
236,06/02/2017 07:00:00 午後,24.895
237,06/02/2017 08:00:00 午後,24.122
238,06/02/2017 09:00:00 午後,23.424
239,06/02/2017 10:00:00 午後,22.681
240,06/02/2017 11:00:00 午後,21.700
241,06/03/2017 12:00:00 午前,20.984
242,06/03/2017 01:00:00 午前,22.274
243,06/03/2017 02:00:00 午前,22.753
244,06/03/2017 03:00:00 午前,22.896
245,06/03/2017 04:00:00 午前,22.920
246,06/03/2017 05:00:00 午前,22.944
247,06/03/2017 06:00:00 午前,22.776
248,06/03/2017 07:00:00 午前,22.729
249,06/03/2017 08:00:00 午前,23.184
250,06/03/2017 09:00:00 午前,23.641
251,06/03/2017 10:00:00 午前,23.905
252,06/03/2017 11:00:00 午前,24.050
253,06/03/2017 12:00:00 午後,24.195
254,06/03/2017 01:00:00 午後,24.267
255,06/03/2017 02:00:00 午後,24.339
256,06/03/2017 03:00:00 午後,24.412
257,06/03/2017 04:00:00 午後,24.484
258,06/03/2017 05:00:00 午後,24.508
259,06/03/2017 06:00:00 午後,24.484
260,06/03/2017 07:00:00 午後,24.219
261,06/03/2017 08:00:00 午後,24.026
262,06/03/2017 09:00:00 午後,23.905
263,06/03/2017 10:00:00 午後,23.761
264,06/03/2017 11:00:00 午後,23.617
265,06/04/2017 12:00:00 午前,23.521
266,06/04/2017 01:00:00 午前,23.497
267,06/04/2017 02:00:00 午前,23.472
268,06/04/2017 03:00:00 午前,23.424
269,06/04/2017 04:00:00 午前,23.328
270,06/04/2017 05:00:00 午前,23.232
271,06/04/2017 06:00:00 午前,23.160
272,06/04/2017 07:00:00 午前,23.232
273,06/04/2017 08:00:00 午前,23.641
274,06/04/2017 09:00:00 午前,24.026
275,06/04/2017 10:00:00 午前,24.195
276,06/04/2017 11:00:00 午前,24.267
277,06/04/2017 12:00:00 午後,24.315
278,06/04/2017 01:00:00 午後,24.363
279,06/04/2017 02:00:00 午後,24.412
280,06/04/2017 03:00:00 午後,24.484
281,06/04/2017 04:00:00 午後,24.653
282,06/04/2017 05:00:00 午後,24.702
283,06/04/2017 06:00:00 午後,24.726
284,06/04/2017 07:00:00 午後,24.677
285,06/04/2017 08:00:00 午後,24.557
286,06/04/2017 09:00:00 午後,24.388
287,06/04/2017 10:00:00 午後,24.219
288,06/04/2017 11:00:00 午後,24.074
289,06/05/2017 12:00:00 午前,23.978
290,06/05/2017 01:00:00 午前,23.905
291,06/05/2017 02:00:00 午前,23.809
292,06/05/2017 03:00:00 午前,23.713
293,06/05/2017 04:00:00 午前,23.641
294,06/05/2017 05:00:00 午前,23.545
295,06/05/2017 06:00:00 午前,23.497
296,06/05/2017 07:00:00 午前,23.521
297,06/05/2017 08:00:00 午前,23.881
298,06/05/2017 09:00:00 午前,24.291
299,06/05/2017 10:00:00 午前,24.508
300,06/05/2017 11:00:00 午前,24.629
301,06/05/2017 12:00:00 午後,24.750
302,06/05/2017 01:00:00 午後,24.798
